Topic,Search keyword,merged_text,cleaned_text,text_translated,topic_id,topic_label
社會弱勢議題,社會弱勢,"派发免费蔬果给更多弱势群体！平价集团扩大计划 #zaobaosg #sgnews 
送菜啦！平价集团扩大“平价邻里幸福食光”计划，预计在2025年底前在全岛设立超过60个分发点派送蔬果。来听居民们怎么说！",派发免费蔬果给更多弱势群体 平价集团扩大计划 zaobaosg sgnews 送菜啦 平价集团扩大 平价邻里幸福食光 计划 预计在2025年底前在全岛设立超过60个分发点派送蔬果 来听居民们怎么说,派發免費蔬果給更多弱勢羣體 平價集團擴大計劃 zaobaosg sgnews 送菜啦 平價集團擴大 平價鄰里幸福食光 計劃 預計在2025年底前在全島設立超過60個分發點派送蔬果 來聽居民們怎麼說,0,0_的_在_與_社會
社會弱勢議題,社會弱勢,"🌿一起讀聖經🌿一起為社會弱勢禱告🙏愛心行動❤️改變生命🌱讓我們成為祝福的管道🌈路加福音3:11✨ #每日靈修 #經文啟示 #禱告 
支持我的頻道，用一杯咖啡☕️ 傳遞你的愛與鼓勵！ 感謝你與我一起分享恩典的時光   點擊 ...",一起讀聖經 一起為社會弱勢禱告 愛心行動 改變生命 讓我們成為祝福的管道 路加福音3 11 每日靈修 經文啟示 禱告 支持我的頻道 用一杯咖啡 傳遞你的愛與鼓勵 感謝你與我一起分享恩典的時光 點擊,一起讀聖經 一起為社會弱勢禱告 愛心行動 改變生命 讓我們成為祝福的管道 路加福音3 11 每日靈修 經文啟示 禱告 支持我的頻道 用一杯咖啡 傳遞你的愛與鼓勵 感謝你與我一起分享恩典的時光 點擊,0,0_的_在_與_社會
社會弱勢議題,社會弱勢,"【社会的弱者】確かにお前らのような負け犬は友達にはおらんなぁ#shorts 
JR東海道本線 塚本駅西口より徒歩4分 - 慢性痛専門 整体院 SIZE - 【公式HP】 https://seitai-osaka-size.com/lp/ 【Instagram】 ...",社会的弱者 確かにお前らのような負け犬は友達にはおらんなぁ shorts JR東海道本線 塚本駅西口より徒歩4分 慢性痛専門 整体院 SIZE 公式HP Instagram,我當然沒有像你們這樣的失敗者 例如你們的短褲 距JR Tokaido主線Tsukamoto Station的西部出口4分鐘步行4分鐘步行路程,0,0_的_在_與_社會
社會弱勢議題,社會弱勢,"【陳牧民時間】中國社會現象的背後意義及日本弱勢執政的後續影響 
國防安全研究院國防戰略與資源所助理研究員鍾志東接受代班主持人張正霖訪問時表示，起源於四位女大生晚上從中國鄭州騎單車到 ...",陳牧民時間 中國社會現象的背後意義及日本弱勢執政的後續影響 國防安全研究院國防戰略與資源所助理研究員鍾志東接受代班主持人張正霖訪問時表示 起源於四位女大生晚上從中國鄭州騎單車到,陳牧民時間 中國社會現象的背後意義及日本弱勢執政的後續影響 國防安全研究院國防戰略與資源所助理研究員鍾志東接受代班主持人張正霖訪問時表示 起源於四位女大生晚上從中國鄭州騎單車到,0,0_的_在_與_社會
社會弱勢議題,社會弱勢,"雲高慈愛會攜手幼幼 捐助單親弱勢家庭@newsebc 
高雄市雲高慈愛會，今年創會第二十年，長年致力於社會公益，今年再發揮慈善力量，特別捐助幼幼基金會，指定幫助單親弱勢家庭 ...",雲高慈愛會攜手幼幼 捐助單親弱勢家庭 newsebc 高雄市雲高慈愛會 今年創會第二十年 長年致力於社會公益 今年再發揮慈善力量 特別捐助幼幼基金會 指定幫助單親弱勢家庭,雲高慈愛會攜手幼幼 捐助單親弱勢家庭 newsebc 高雄市雲高慈愛會 今年創會第二十年 長年致力於社會公益 今年再發揮慈善力量 特別捐助幼幼基金會 指定幫助單親弱勢家庭,0,0_的_在_與_社會
社會弱勢議題,社會弱勢,"本地年轻人运用创新科技 改善年长者及弱势群体生活质量 
用不同语言为年长居民读信，协助听障人士打紧急电话，本地年轻人通过创新科技方案解决社区问题，改善年长者以及弱势群体的 ...",本地年轻人运用创新科技 改善年长者及弱势群体生活质量 用不同语言为年长居民读信 协助听障人士打紧急电话 本地年轻人通过创新科技方案解决社区问题 改善年长者以及弱势群体的,本地年輕人運用創新科技 改善年長者及弱勢羣體生活質量 用不同語言爲年長居民讀信 協助聽障人士打緊急電話 本地年輕人通過創新科技方案解決社區問題 改善年長者以及弱勢羣體的,0,0_的_在_與_社會
社會弱勢議題,社會弱勢,"快新聞/ 國民黨團稱一萬是捐救弱勢? 林俊憲: 大罷免治百病才能根除 
快新聞#即時新聞直播#shorts 2025.07.14【民視快新聞】 快新聞/ 國民黨團稱一萬是捐救弱勢? 林俊憲: 大罷免治百病才能根除即時 ...",快新聞 國民黨團稱一萬是捐救弱勢 林俊憲 大罷免治百病才能根除 快新聞 即時新聞直播 shorts 2025 07 14 民視快新聞 快新聞 國民黨團稱一萬是捐救弱勢 林俊憲 大罷免治百病才能根除即時,快新聞 國民黨團稱一萬是捐救弱勢 林俊憲 大罷免治百病才能根除 快新聞 即時新聞直播 shorts 2025 07 14 民視快新聞 快新聞 國民黨團稱一萬是捐救弱勢 林俊憲 大罷免治百病才能根除即時,0,0_的_在_與_社會
社會弱勢議題,社會弱勢,"同濟會送愛！  捐122萬善款助弱勢童│T-NEWS聯播網 
孩子就是未來！為了幫助弱勢學童，不因經濟而荒廢學業，同濟會台中區等四區，共同捐款122萬元，捐贈給236所小學，每校2名 ...",同濟會送愛 捐122萬善款助弱勢童 T NEWS聯播網 孩子就是未來 為了幫助弱勢學童 不因經濟而荒廢學業 同濟會台中區等四區 共同捐款122萬元 捐贈給236所小學 每校2名,同濟會送愛 捐122萬善款助弱勢童 T NEWS聯播網 孩子就是未來 為了幫助弱勢學童 不因經濟而荒廢學業 同濟會臺中區等四區 共同捐款122萬元 捐贈給236所小學 每校2名,0,0_的_在_與_社會
社會弱勢議題,社會弱勢,"弱势群体就该被管理欺负吗#人品#社会百态#shorts 
嘿，各位朋友！欢迎来到“网富星【丁姐】” 的频道  。 在这里，丁姐将带您深入探寻社会的各个角落，全方位展现丰富多彩、复杂多 ...",弱势群体就该被管理欺负吗 人品 社会百态 shorts 嘿 各位朋友 欢迎来到 网富星 丁姐 的频道 在这里 丁姐将带您深入探寻社会的各个角落 全方位展现丰富多彩 复杂多,弱勢羣體就該被管理欺負嗎 人品 社會百態 shorts 嘿 各位朋友 歡迎來到 網富星 丁姐 的頻道 在這裏 丁姐將帶您深入探尋社會的各個角落 全方位展現豐富多彩 複雜多,0,0_的_在_與_社會
社會弱勢議題,社會弱勢,"New Orleans Honors Youth Mentor Blonka Mack with Street Renaming &#39;Blonka Mack Way&#39; 
Aireial “Blonka” Mack created a financial literacy program for disadvantaged youth that she's brought to schools across the U.S. ...",New Orleans Honors Youth Mentor Blonka Mack with Street Renaming 39 Blonka Mack Way 39 Aireial Blonka Mack created a financial literacy program for disadvantaged youth that she s brought to schools across the U S,新奧爾良以街頭重命名39 Blonka Mack Way 39 Aireial Blonka Mack授予青年導師Blonka Mack 為弱勢青年創建了一項金融素養計劃 她將她帶到了整個U S的學校,0,0_的_在_與_社會
