Category,Search keyword,merged_text,cleaned_text,text_translated,topic_id,topic_label
社會弱勢領域,社會弱勢,"不畏身障仍付出 同理心關懷弱勢｜大愛新聞 @DaaiWorldNews 
台南學甲災區，一位郭先生疾病纏身坐輪椅。志工與總統教育獎得主陳柏元攜手，前往關懷並分享復健經驗，希望支持他擺脫菸癮。",不畏身障仍付出 同理心關懷弱勢 大愛新聞 DaaiWorldNews 台南學甲災區 一位郭先生疾病纏身坐輪椅 志工與總統教育獎得主陳柏元攜手 前往關懷並分享復健經驗 希望支持他擺脫菸癮,不畏身障仍付出 同理心關懷弱勢 大愛新聞 DaaiWorldNews 臺南學甲災區 一位郭先生疾病纏身坐輪椅 志工與總統教育獎得主陳柏元攜手 前往關懷並分享復健經驗 希望支持他擺脫菸癮,0,0_臺_扶_弱勢_南
社會弱勢領域,社會弱勢,"澳洲男子多年維修二手車轉贈弱勢社群　紀念已故兒子｜國際新聞｜無綫新聞｜TVB News｜2025/08/19 
澳洲一名男子為了紀念已故兒子，多年來維修二手車，再轉送弱勢社群，協助當地的難民和年輕人。 時刻緊貼香港無綫新聞TVB ...",澳洲男子多年維修二手車轉贈弱勢社群 紀念已故兒子 國際新聞 無綫新聞 TVB News 2025 08 19 澳洲一名男子為了紀念已故兒子 多年來維修二手車 再轉送弱勢社群 協助當地的難民和年輕人 時刻緊貼香港無綫新聞TVB,澳洲男子多年維修二手車轉贈弱勢社羣 紀念已故兒子 國際新聞 無綫新聞 TVB News 2025 08 19 澳洲一名男子為了紀念已故兒子 多年來維修二手車 再轉送弱勢社羣 協助當地的難民和年輕人 時刻緊貼香港無綫新聞TVB,31,31_澳洲_香港_能量_正
社會弱勢領域,社會弱勢,"新北好日子愛心大平台  6年翻轉5千萬弱勢｜大愛新聞   @DaaiWorldNews 
新北市政府的好日子大平台成立六周年，舉辦感恩儀式，一路走來，包括慈濟基金會在內的公益團體，已經累計愛心捐贈超過53億元 ...",新北好日子愛心大平台 6年翻轉5千萬弱勢 大愛新聞 DaaiWorldNews 新北市政府的好日子大平台成立六周年 舉辦感恩儀式 一路走來 包括慈濟基金會在內的公益團體 已經累計愛心捐贈超過53億元,新北好日子愛心大平臺 6年翻轉5千萬弱勢 大愛新聞 DaaiWorldNews 新北市政府的好日子大平臺成立六週年 舉辦感恩儀式 一路走來 包括慈濟基金會在內的公益團體 已經累計愛心捐贈超過53億元,0,0_臺_扶_弱勢_南
社會弱勢領域,社會弱勢,"【普發1萬確定啦】立院通過特別條例！預算過後月內發放 #Shorts 
今日熱門新聞 :https://bit.ly/2Srrrrs 訂閱新聞雲頻道:https://bit.ly/2FOmiBe 加入頻道會員:https://bit.ly/3cvq3Z2 影片授權：翻攝 YT／ ...",普發1萬確定啦 立院通過特別條例 預算過後月內發放 Shorts 今日熱門新聞 訂閱新聞雲頻道 加入頻道會員 影片授權 翻攝 YT,普發1萬確定啦 立院通過特別條例 預算過後月內發放 Shorts 今日熱門新聞 訂閱新聞雲頻道 加入頻道會員 影片授權 翻攝 YT,10,10_普發_現金_特別_條例
社會弱勢領域,社會弱勢,"社會光明面報導獎 「腦麻兒小比登玉山」民視獲選特優－民視新聞 
【民視即時新聞】今年度的社會光明面新聞報導獎，參賽作品有將近300件，創下歷屆新高，民視記者製作的""重度腦麻兒小比「登 ...",社會光明面報導獎 腦麻兒小比登玉山 民視獲選特優 民視新聞 民視即時新聞 今年度的社會光明面新聞報導獎 參賽作品有將近300件 創下歷屆新高 民視記者製作的 重度腦麻兒小比 登,社會光明面報導獎 腦麻兒小比登玉山 民視獲選特優 民視新聞 民視即時新聞 今年度的社會光明面新聞報導獎 參賽作品有將近300件 創下歷屆新高 民視記者製作的 重度腦麻兒小比 登,9,9_內閣_0_改組_行政院
社會弱勢領域,社會弱勢,"【LIVE】0823 總統賴清德探視 弱勢戶房舍修繕狀況｜民視快新聞｜ 
快新聞#即時新聞直播2025.08.23【民視快新聞】總統賴清德探視弱勢戶房舍修繕狀況成為這個頻道的會員並獲得福利： ...",LIVE 0823 總統賴清德探視 弱勢戶房舍修繕狀況 民視快新聞 快新聞 即時新聞直播2025 08 23 民視快新聞 總統賴清德探視弱勢戶房舍修繕狀況成為這個頻道的會員並獲得福利,LIVE 0823 總統賴清德探視 弱勢戶房舍修繕狀況 民視快新聞 快新聞 即時新聞直播2025 08 23 民視快新聞 總統賴清德探視弱勢戶房舍修繕狀況成為這個頻道的會員並獲得福利,0,0_臺_扶_弱勢_南
社會弱勢領域,社會弱勢,"公私協力助弱勢 微型保險7萬人受惠│T-NEWS聯播網 
高雄市是全國率先將「微型保險」法制化的城市，協助年滿15到65歲經濟弱勢民眾投保提升保障，今年有近七萬五千人加入，保費 ...",公私協力助弱勢 微型保險7萬人受惠 T NEWS聯播網 高雄市是全國率先將 微型保險 法制化的城市 協助年滿15到65歲經濟弱勢民眾投保提升保障 今年有近七萬五千人加入 保費,公私協力助弱勢 微型保險7萬人受惠 T NEWS聯播網 高雄市是全國率先將 微型保險 法制化的城市 協助年滿15到65歲經濟弱勢民眾投保提升保障 今年有近七萬五千人加入 保費,0,0_臺_扶_弱勢_南
社會弱勢領域,社會弱勢,"普發1萬現金 政院擬提修正案納入排富機制 #普發現金 #排富 
歡迎收看並訂閱TTVNews台視新聞YouTube頻道✨ ◎【台視新聞網】  https://news.ttv.com.tw/ ◎訂閱【台視 ...",普發1萬現金 政院擬提修正案納入排富機制 普發現金 排富 歡迎收看並訂閱TTVNews台視新聞YouTube頻道 台視新聞網 訂閱 台視,普發1萬現金 政院擬提修正案納入排富機制 普發現金 排富 歡迎收看並訂閱TTVNews臺視新聞YouTube頻道 臺視新聞網 訂閱 臺視,10,10_普發_現金_特別_條例
社會弱勢領域,社會弱勢,"物資捐贈 佛教|宗教界捐社福物資助弱勢 劉和然感謝肯定 
物資捐贈佛教|宗教界捐社福物資助弱勢劉和然感謝肯定副市長劉和然今天出席在板樹體育館舉辦的法會暨捐贈儀式，接受宗教界提供 ...",物資捐贈 佛教 宗教界捐社福物資助弱勢 劉和然感謝肯定 物資捐贈佛教 宗教界捐社福物資助弱勢劉和然感謝肯定副市長劉和然今天出席在板樹體育館舉辦的法會暨捐贈儀式 接受宗教界提供,物資捐贈 佛教 宗教界捐社福物資助弱勢 劉和然感謝肯定 物資捐贈佛教 宗教界捐社福物資助弱勢劉和然感謝肯定副市長劉和然今天出席在板樹體育館舉辦的法會暨捐贈儀式 接受宗教界提供,0,0_臺_扶_弱勢_南
社會弱勢領域,社會弱勢,"普發1萬有望10月領　特別條例今逕付二讀｜民視新聞｜ 
攸關的特別條例，今天順利逕付二讀，表示有機會在10月領到錢，最新情形連線記者陳姸伶。 成為這個頻道的會員並獲得福利： ...",普發1萬有望10月領 特別條例今逕付二讀 民視新聞 攸關的特別條例 今天順利逕付二讀 表示有機會在10月領到錢 最新情形連線記者陳姸伶 成為這個頻道的會員並獲得福利,普發1萬有望10月領 特別條例今逕付二讀 民視新聞 攸關的特別條例 今天順利逕付二讀 表示有機會在10月領到錢 最新情形連線記者陳姸伶 成為這個頻道的會員並獲得福利,10,10_普發_現金_特別_條例
