Topic,Search keyword,merged_text,cleaned_text,text_translated,topic_id,topic_label
社會議題,社會議題,"李昂探討性別、社會議題！取材自醜聞卻成為醜聞主角！【#真情指數】完整版｜#蔡康永 #李昂 
李昂探討性別、社會議題！取材自醜聞卻成為醜聞主角！【#真情指數】完整版｜#蔡康永#李昂#優選頻道#蔡康永#李昂#真情指數# ...",李昂探討性別 社會議題 取材自醜聞卻成為醜聞主角 真情指數 完整版 蔡康永 李昂 李昂探討性別 社會議題 取材自醜聞卻成為醜聞主角 真情指數 完整版 蔡康永 李昂 優選頻道 蔡康永 李昂 真情指數,李昂探討性別 社會議題 取材自醜聞卻成為醜聞主角 真情指數 完整版 蔡康永 李昂 李昂探討性別 社會議題 取材自醜聞卻成為醜聞主角 真情指數 完整版 蔡康永 李昂 優選頻道 蔡康永 李昂 真情指數,4,4_議題_臺_社會_與
社會議題,社會議題,"07.25.2025 跨界寫作力：當創作遇上社會議題與人生現場-李紹齡 
07.25.2025 跨界寫作力：當創作遇上社會議題與人生現場-李紹齡.",07 25 2025 跨界寫作力 當創作遇上社會議題與人生現場 李紹齡 07 25 2025 跨界寫作力 當創作遇上社會議題與人生現場 李紹齡,07 25 2025 跨界寫作力 當創作遇上社會議題與人生現場 李紹齡 07 25 2025 跨界寫作力 當創作遇上社會議題與人生現場 李紹齡,4,4_議題_臺_社會_與
社會議題,社會議題,"20250702人間佛教閱讀研討會 探討當代社會議題｜@FGSBLTV 
2025年人間佛教閱讀研討會，在嘉義會館舉行，主題為人間佛教當代問題探討，討論社會上各種人心、政治、性別平等的解決之道， ...",20250702人間佛教閱讀研討會 探討當代社會議題 FGSBLTV 2025年人間佛教閱讀研討會 在嘉義會館舉行 主題為人間佛教當代問題探討 討論社會上各種人心 政治 性別平等的解決之道,20250702人間佛教閱讀研討會 探討當代社會議題 FGSBLTV 2025年人間佛教閱讀研討會 在嘉義會館舉行 主題為人間佛教當代問題探討 討論社會上各種人心 政治 性別平等的解決之道,5,5_2025_問題_社會_年
社會議題,社會議題,社会問題に取り組む企業5選,社会問題に取り組む企業5選,社會問題に取り組む企業5選,0,0_的_日本_問題_了
社會議題,社會議題,"Empreendedorismo Social Vai Muito Além da Caridade 
Empreendedorismo social vai muito além do lucro ou da caridade, é um compromisso real com a transformação das ...",Empreendedorismo Social Vai Muito Além da Caridade Empreendedorismo social vai muito além do lucro ou da caridade é um compromisso real com a transformação das,社會企業家精神遠遠超出了社會企業家精神遠遠超出利潤或慈善是對轉型的真正承諾,4,4_議題_臺_社會_與
社會議題,社會議題,"Lo que no se nombra no existe | Liliana Blum 
Liliana Blum, escritora mexicana, conversó con la periodista Perla Velázquez sobre la importancia de enunciar las diversas ...",Lo que no se nombra no existe Liliana Blum Liliana Blum escritora mexicana conversó con la periodista Perla Velázquez sobre la importancia de enunciar las diversas,未任命的是不存在的Liliana Blum Liliana Blum墨西哥作家與記者PerlaVel zquez談到了陳述各種的重要性,4,4_議題_臺_社會_與
社會議題,社會議題,"Hope or hype: Can social innovation really deliver? 
How can we turn great ideas into lasting social impact? In this episode of the OECD Podcast, Shayne MacLachlan speaks with ...",Hope or hype Can social innovation really deliver How can we turn great ideas into lasting social impact In this episode of the OECD Podcast Shayne MacLachlan speaks with,希望或炒作可以真正帶給我們如何將偉大的想法變成經合組織播客Shayne Maclachlan的持久社會影響,4,4_議題_臺_社會_與
社會議題,社會議題,"【岐阜・障害者支援施設で14人が虐待】#障害者支援 #障害福祉 #社会問題 #ニュース解説 
「まさか自分の家族が…」そんな想像をした人も多いはず。 これは“他人事”じゃなく、社会全体の問題です。 ・なぜこんなことが ...",岐阜・障害者支援施設で14人が虐待 障害者支援 障害福祉 社会問題 ニュース解説 まさか自分の家族が そんな想像をした人も多いはず これは 他人事 じゃなく 社会全体の問題です ・なぜこんなことが,14在設施中為GIFU的殘疾人虐待 對殘疾人的支持 殘疾人福利 社會問題 新聞評論 我敢肯定 許多人都以這種方式想像 而不是別人的問題 而是整個社會問題 為什麼這是,2,2_者_真實_無關_教育
社會議題,社會議題,"Cults inquiry hears testimony 
The parliamentary inquiry into the recruitment methods and impacts of cults and organised fringe groups has held its first public ...",Cults inquiry hears testimony The parliamentary inquiry into the recruitment methods and impacts of cults and organised fringe groups has held its first public,邪教的調查聽取了證詞 議會探究者和有組織的邊緣團體的招聘方法和影響,1,1_的_出生率_年_是
社會議題,社會議題,"What you need to know about #feminism, #racism, #colonialism and other pressing social issues 
Systemic inequalities exist; Social Science for Social Justice helps you understand how they operate – and how to challenge them ...",What you need to know about feminism racism colonialism and other pressing social issues Systemic inequalities exist Social Science for Social Justice helps you understand how they operate and how to challenge them,您需要了解的關於女權主義種族主義殖民主義和其他緊迫的社會問題系統性不平等的社會科學有助於您瞭解他們的運作方式以及如何挑戰他們,1,1_的_出生率_年_是
社會議題,社會議題,"What is white privilege? 
Kalwant Bhopal, author of the second edition of 'White Privilege: The myth of a post-racial society', explains what white privilege is ...",What is white privilege Kalwant Bhopal author of the second edition of White Privilege The myth of a post racial society explains what white privilege is,白人特權是什麼是白人博帕爾第二版 白人特權 的作者 種族社會的神話解釋了什麼是白人特權,8,8_我們_研究_通過_社會
