Category,Search keyword,merged_text,cleaned_text,text_translated,topic_id,topic_label
社會領域,社會議題,"中國強制社保炸出社會問題? 出手強揭勞資灰色地帶 底層勞工薪水少過半生存成考驗 ｜#寰宇新聞 #寰宇全視界 
社會保險#五險一金#勞資關係#社會結構#高齡化社會#人口紅利0:00 重點在這0:21 中國企業與勞工""瑟瑟發抖"" 法院公告:不繳社保協議 ...",中國強制社保炸出社會問題 出手強揭勞資灰色地帶 底層勞工薪水少過半生存成考驗 寰宇新聞 寰宇全視界 社會保險 五險一金 勞資關係 社會結構 高齡化社會 人口紅利0 00 重點在這0 21 中國企業與勞工 瑟瑟發抖 法院公告 不繳社保協議,中國強制社保炸出社會問題 出手強揭勞資灰色地帶 底層勞工薪水少過半生存成考驗 寰宇新聞 寰宇全視界 社會保險 五險一金 勞資關係 社會結構 高齡化社會 人口紅利0 00 重點在這0 21 中國企業與勞工 瑟瑟發抖 法院公告 不繳社保協議,14,14_00_0_與_重點
社會領域,社會議題,"中國強制社保炸出社會問題? 出手強揭勞資灰色地帶 底層勞工薪水少過半生存成考驗 ｜#寰宇新聞 #寰宇全視界 
社會保險#五險一金#勞資關係#社會結構#高齡化社會#人口紅利0:00 重點在這0:21 中國企業與勞工""瑟瑟發抖"" 法院公告:不繳社保協議 ...",中國強制社保炸出社會問題 出手強揭勞資灰色地帶 底層勞工薪水少過半生存成考驗 寰宇新聞 寰宇全視界 社會保險 五險一金 勞資關係 社會結構 高齡化社會 人口紅利0 00 重點在這0 21 中國企業與勞工 瑟瑟發抖 法院公告 不繳社保協議,中國強制社保炸出社會問題 出手強揭勞資灰色地帶 底層勞工薪水少過半生存成考驗 寰宇新聞 寰宇全視界 社會保險 五險一金 勞資關係 社會結構 高齡化社會 人口紅利0 00 重點在這0 21 中國企業與勞工 瑟瑟發抖 法院公告 不繳社保協議,14,14_00_0_與_重點
社會領域,社會議題,"無退路_不向腐敗低頭#社會議題 #台灣 #ai 
詞：LowDon 曲：Suno 唱：Suno 錯誤的執行，錯誤的人選，傷害著社會，失去著民心。不知民間疾苦，不知福爾摩沙的美，這些不 ...",無退路_不向腐敗低頭 社會議題 台灣 ai 詞 LowDon 曲 Suno 唱 Suno 錯誤的執行 錯誤的人選 傷害著社會 失去著民心 不知民間疾苦 不知福爾摩沙的美 這些不,無退路 不向腐敗低頭 社會議題 臺灣 ai 詞 LowDon 曲 Suno 唱 Suno 錯誤的執行 錯誤的人選 傷害著社會 失去著民心 不知民間疾苦 不知福爾摩沙的美 這些不,22,22_臺_歷史_灣_重要
社會領域,社會議題,"善良男孩遭老奶奶欺詐：揭露偽裝殘疾的騙局 #社會議題 
善良男孩遭老奶奶欺詐：揭露偽裝殘疾的騙局#社會議題.",善良男孩遭老奶奶欺詐 揭露偽裝殘疾的騙局 社會議題 善良男孩遭老奶奶欺詐 揭露偽裝殘疾的騙局 社會議題,善良男孩遭老奶奶欺詐 揭露偽裝殘疾的騙局 社會議題 善良男孩遭老奶奶欺詐 揭露偽裝殘疾的騙局 社會議題,2,2_AI_歌曲_最新_音樂
社會領域,社會議題,"現在所有的社會矛盾和難點問題幾乎都是從六七十年代遺留下來的【創史館】#歷史#歷史故事#歷史人物#奇聞 
台灣近代史https://www.youtube.com/playlist?list=PLrpVENH1umIZbOklYBFhTxeJAhO5PcJB0 近代 ...",現在所有的社會矛盾和難點問題幾乎都是從六七十年代遺留下來的 創史館 歷史 歷史故事 歷史人物 奇聞 台灣近代史 近代,現在所有的社會矛盾和難點問題幾乎都是從六七十年代遺留下來的 創史館 歷史 歷史故事 歷史人物 奇聞 臺灣近代史 近代,22,22_臺_歷史_灣_重要
社會領域,社會議題,"【日本社會新問題】棄置行李箱的案件急速增加，機場、街道、酒店隨處可見 
隨著到日本觀光人數不斷上升，棄置行李箱的案件也急速增加，目前已經演變成一項社會問題。本報導將深入探討這個現象，了解它 ...",日本社會新問題 棄置行李箱的案件急速增加 機場 街道 酒店隨處可見 隨著到日本觀光人數不斷上升 棄置行李箱的案件也急速增加 目前已經演變成一項社會問題 本報導將深入探討這個現象 了解它,日本社會新問題 棄置行李箱的案件急速增加 機場 街道 酒店隨處可見 隨著到日本觀光人數不斷上升 棄置行李箱的案件也急速增加 目前已經演變成一項社會問題 本報導將深入探討這個現象 瞭解它,10,10_增加_案件_急速_數量
社會領域,社會議題,"【少子化 社会問題 氷河期世代】生涯未婚率28%を突破！40代50代独身者が明かす本音がヤバすぎる。【ゆっくり 2ch 解説】 
結婚相談所でも結婚できない40代の末路。 婚活成功率わずか3.3%の残酷な現実。 お金があっても解決しない独身者の深刻な問題 ...",少子化 社会問題 氷河期世代 生涯未婚率28 を突破 40代50代独身者が明かす本音がヤバすぎる ゆっくり 2ch 解説 結婚相談所でも結婚できない40代の末路 婚活成功率わずか3 3 の残酷な現実 お金があっても解決しない独身者の深刻な問題,出生率下降 社會問題 冰期的生成 未婚率超過28 他們40多歲和50多歲的單身人士的真實感覺太危險了 慢慢地2ch評論 即使在婚姻機構中也無法結婚的40年代結束 只有3 3個成功狩獵的殘酷現實 單身人士的嚴重問題 即使他們有錢也無法解決,26,26_冰期_就業_時代_單身
社會領域,社會議題,"インド：持参金要求による女性焼身死亡事件、根深い社会問題が悲劇を生む｜Times of India｜2025/08/24｜社会 
出典: Times of India公式記事 ...",インド 持参金要求による女性焼身死亡事件 根深い社会問題が悲劇を生む Times of India 2025 08 24 社会 出典 Times of India公式記事,印度 婦女因嫁妝要求固定死亡的案件 深化的社會問題創造了印度的悲劇時期2025 08 24印度社會時代官方文章,38,38_a_絕路_走向_影片
社會領域,社會議題,"米首都の博物館は「社会問題への意識が高すぎ」？　トランプ氏の批判、来館者はどう思う 
アメリカのドナルド・トランプ大統領は19日、首都ワシントンにあるスミソニアン博物館は「制御不能に陥っている」と、自分の ...",米首都の博物館は 社会問題への意識が高すぎ トランプ氏の批判 来館者はどう思う アメリカのドナルド・トランプ大統領は19日 首都ワシントンにあるスミソニアン博物館は 制御不能に陥っている と 自分の,美國首都博物館太意識到了社會問題 特朗普批評遊客的想法 19日 美國總統唐納德 特朗普 Donald Trump 說 華盛頓的史密森尼博物館 Smithsonian Museum 失控了,34,34_誰_把_主義_音樂
社會領域,社會議題,"台北表演藝術中心 多元劇場探討社會議題｜大愛新聞 @DaaiWorldNews 
還有喜歡看戲的觀眾朋友、不容錯過，今年下半年，台北表演藝術中心、推出八檔與愛有關的內容，透過音樂劇、劇場、還有兒童劇 ...",台北表演藝術中心 多元劇場探討社會議題 大愛新聞 DaaiWorldNews 還有喜歡看戲的觀眾朋友 不容錯過 今年下半年 台北表演藝術中心 推出八檔與愛有關的內容 透過音樂劇 劇場 還有兒童劇,臺北表演藝術中心 多元劇場探討社會議題 大愛新聞 DaaiWorldNews 還有喜歡看戲的觀眾朋友 不容錯過 今年下半年 臺北表演藝術中心 推出八檔與愛有關的內容 透過音樂劇 劇場 還有兒童劇,23,23_戲劇_歡迎_我_直接
